vpa,name,bank,is_merchant,mcc,account_age_days,kyc_level,avg_amount,usual_hours,home_device,balance,is_corporate,blacklisted,is_spoof
user0066@sbi,User 66,SBI,0,0,1181,CORPORATE,1000.0,10-20,dev_0066,131600.0,0,0,
user0067@axis,User 67,YBL,0,0,12,BASIC,1000.0,8-22,dev_0067,31148.0,0,0,
user0068@icici,User 68,HDFC,0,0,1291,BASIC,2000.0,8-20,dev_0068,84712.0,0,0,
user0069@icici,User 69,HDFC,0,0,871,VIDEO,500.0,7-20,dev_0069,48990.0,0,0,
user0070@icici,User 70,SBI,0,0,1325,VIDEO,2000.0,9-21,dev_0070,158549.0,0,0,
user0071@icici,User 71,ICICI,0,0,1054,CORPORATE,1000.0,9-22,dev_0071,177848.0,0,0,
user0072@paytm,User 72,AXIS,0,0,670,BASIC,2000.0,8-19,dev_0072,101357.0,0,0,
user0073@ybl,User 73,AXIS,0,0,604,BASIC,500.0,10-19,dev_0073,38733.0,0,0,
user0074@ybl,User 74,PAYTM,0,0,1721,VIDEO,2000.0,6-21,dev_0074,34954.0,0,0,
user0075@icici,User 75,AXIS,0,0,1991,VIDEO,12000.0,7-19,dev_0075,65637.0,0,0,
user0076@paytm,User 76,PAYTM,0,0,80,BASIC,2000.0,7-20,dev_0076,107392.0,0,0,
user0077@axis,User 77,PAYTM,0,0,1138,BASIC,12000.0,10-22,dev_0077,198112.0,0,0,
user0078@ybl,User 78,AXIS,0,0,1525,BASIC,500.0,7-22,dev_0078,96518.0,0,0,
user0079@sbi,User 79,SBI,0,0,511,VIDEO,500.0,10-21,dev_0079,100588.0,0,0,
user0080@hdfc,User 80,ICICI,0,0,1696,VIDEO,500.0,6-22,dev_0080,131584.0,0,0,
user0081@icici,User 81,YBL,0,0,1106,BASIC,1000.0,6-21,dev_0081,169673.0,0,0,
user0082@paytm,User 82,HDFC,0,0,1824,BASIC,1000.0,10-20,dev_0082,170803.0,0,0,
user0083@ybl,User 83,ICICI,0,0,833,BASIC,500.0,8-19,dev_0083,128012.0,0,0,
user0084@sbi,User 84,AXIS,0,0,1859,VIDEO,500.0,6-21,dev_0084,64969.0,0,1,
user0085@axis,User 85,PAYTM,0,0,1289,BASIC,2000.0,7-21,dev_0085,125969.0,0,0,
user0086@icici,User 86,AXIS,0,0,1928,BASIC,2000.0,10-20,dev_0086,174026.0,0,0,
user0087@paytm,User 87,HDFC,0,0,1328,BASIC,1000.0,8-22,dev_0087,196992.0,0,0,
user0088@ybl,User 88,ICICI,0,0,3,BASIC,1000.0,9-19,dev_0088,156581.0,0,0,
user0089@ybl,User 89,ICICI,0,0,858,VIDEO,12000.0,8-19,dev_0089,21539.0,0,0,
user0090@sbi,User 90,YBL,0,0,131,BASIC,2000.0,10-19,dev_0090,14496.0,0,0,
user0091@paytm,User 91,AXIS,0,0,1738,BASIC,2000.0,9-19,dev_0091,161169.0,0,0,
user0092@hdfc,User 92,SBI,0,0,68,BASIC,5000.0,9-20,dev_0092,137071.0,0,0,
user0093@paytm,User 93,ICICI,0,0,521,VIDEO,2000.0,10-20,dev_0093,72866.0,0,0,
user0094@paytm,User 94,YBL,0,0,593,BASIC,1000.0,8-19,dev_0094,41580.0,0,0,
user0095@axis,User 95,PAYTM,0,0,1997,BASIC,2000.0,9-21,dev_0095,84548.0,0,0,
user0096@sbi,User 96,AXIS,0,0,1214,BASIC,2000.0,10-21,dev_0096,183483.0,0,0,
user0097@hdfc,User 97,SBI,0,0,5,VIDEO,500.0,7-20,dev_0097,93389.0,0,0,
user0098@axis,User 98,YBL,0,0,1518,VIDEO,12000.0,8-22,dev_0098,60485.0,0,0,
user0099@icici,User 99,SBI,0,0,1087,VIDEO,5000.0,7-20,dev_0099,120195.0,0,0,
user0100@ybl,User 100,HDFC,0,0,361,VIDEO,1000.0,7-19,dev_0100,60233.0,0,0,
user0101@icici,User 101,ICICI,0,0,983,VIDEO,1000.0,9-22,dev_0101,136546.0,0,0,
user0102@sbi,User 102,AXIS,0,0,14,CORPORATE,500.0,9-19,dev_0102,132319.0,0,0,
user0103@ybl,User 103,SBI,0,0,24,BASIC,500.0,8-22,dev_0103,13010.0,0,0,
user0104@ybl,User 104,YBL,0,0,8,BASIC,1000.0,8-22,dev_0104,26762.0,0,0,
user0105@ybl,User 105,SBI,0,0,646,BASIC,500.0,9-22,dev_0105,86238.0,0,0,
user0106@axis,User 106,HDFC,0,0,1045,BASIC,500.0,10-19,dev_0106,69953.0,0,0,
user0107@axis,User 107,YBL,0,0,685,VIDEO,500.0,10-19,dev_0107,98573.0,0,0,
user0108@paytm,User 108,YBL,0,0,154,BASIC,5000.0,7-20,dev_0108,143753.0,0,0,
user0109@sbi,User 109,PAYTM,0,0,77,BASIC,5000.0,6-19,dev_0109,11100.0,0,0,
user0110@axis,User 110,AXIS,0,0,1204,VIDEO,1000.0,7-19,dev_0110,5924.0,0,0,
user0111@axis,User 111,SBI,0,0,1719,BASIC,2000.0,6-22,dev_0111,184164.0,0,0,
user0112@ybl,User 112,ICICI,0,0,1637,VIDEO,1000.0,10-21,dev_0112,160846.0,0,0,
user0113@icici,User 113,PAYTM,0,0,2,BASIC,1000.0,8-22,dev_0113,72563.0,0,0,
user0114@icici,User 114,HDFC,0,0,1492,VIDEO,2000.0,9-20,dev_0114,178553.0,0,0,
user0115@paytm,User 115,HDFC,0,0,395,BASIC,2000.0,6-19,dev_0115,198396.0,0,1,
user0116@icici,User 116,HDFC,0,0,306,VIDEO,1000.0,10-20,dev_0116,176674.0,0,0,
user0117@sbi,User 117,AXIS,0,0,1213,VIDEO,500.0,7-20,dev_0117,134406.0,0,1,
user0118@hdfc,User 118,ICICI,0,0,1755,VIDEO,500.0,8-22,dev_0118,124100.0,0,0,
user0119@paytm,User 119,PAYTM,0,0,1159,BASIC,2000.0,9-22,dev_0119,196766.0,0,0,
user0120@ybl,User 120,YBL,0,0,1069,VIDEO,2000.0,6-20,dev_0120,23344.0,0,0,
user0121@hdfc,User 121,PAYTM,0,0,1925,VIDEO,500.0,9-20,dev_0121,43910.0,0,0,
user0122@sbi,User 122,ICICI,0,0,1482,VIDEO,1000.0,7-22,dev_0122,78915.0,0,0,
user0123@icici,User 123,PAYTM,0,0,14,VIDEO,2000.0,9-22,dev_0123,181274.0,0,0,
user0124@icici,User 124,SBI,0,0,18,BASIC,500.0,6-20,dev_0124,195948.0,0,0,
user0125@ybl,User 125,ICICI,0,0,679,BASIC,1000.0,10-21,dev_0125,118292.0,0,0,
user0126@icici,User 126,AXIS,0,0,441,BASIC,1000.0,10-19,dev_0126,81850.0,0,0,
user0127@sbi,User 127,SBI,0,0,1912,VIDEO,1000.0,9-19,dev_0127,24290.0,0,0,
user0128@axis,User 128,HDFC,0,0,420,BASIC,500.0,7-22,dev_0128,96341.0,0,0,
user0129@hdfc,User 129,YBL,0,0,1325,BASIC,12000.0,8-19,dev_0129,26584.0,0,0,
user0130@sbi,User 130,ICICI,0,0,1809,CORPORATE,5000.0,9-22,dev_0130,196561.0,0,0,
user0131@axis,User 131,PAYTM,0,0,14,VIDEO,1000.0,6-19,dev_0131,169930.0,0,0,
user0132@icici,User 132,AXIS,0,0,371,VIDEO,500.0,6-20,dev_0132,118924.0,0,0,
user0133@ybl,User 133,HDFC,0,0,1534,CORPORATE,1000.0,7-19,dev_0133,45328.0,0,0,
user0134@sbi,User 134,ICICI,0,0,573,BASIC,500.0,10-20,dev_0134,40000.0,0,0,
user0135@sbi,User 135,PAYTM,0,0,1711,VIDEO,2000.0,7-19,dev_0135,71167.0,0,0,
user0136@sbi,User 136,HDFC,0,0,1883,VIDEO,500.0,7-19,dev_0136,156584.0,0,0,
user0137@axis,User 137,AXIS,0,0,11,CORPORATE,1000.0,8-22,dev_0137,29504.0,0,0,
user0138@ybl,User 138,HDFC,0,0,1135,BASIC,500.0,10-20,dev_0138,54370.0,0,0,
user0139@hdfc,User 139,YBL,0,0,1239,VIDEO,1000.0,10-22,dev_0139,83087.0,0,0,
user0140@ybl,User 140,YBL,0,0,1498,CORPORATE,2000.0,10-22,dev_0140,34811.0,0,0,
user0141@icici,User 141,HDFC,0,0,1601,VIDEO,1000.0,6-19,dev_0141,151413.0,0,0,
user0142@sbi,User 142,ICICI,0,0,16,BASIC,1000.0,10-20,dev_0142,198706.0,0,0,
user0143@axis,User 143,AXIS,0,0,355,CORPORATE,500.0,8-20,dev_0143,81620.0,0,0,
user0144@axis,User 144,HDFC,0,0,1340,CORPORATE,1000.0,9-20,dev_0144,97192.0,0,0,
user0145@icici,User 145,YBL,0,0,21,VIDEO,2000.0,6-22,dev_0145,92678.0,0,0,
user0146@sbi,User 146,AXIS,0,0,1340,BASIC,1000.0,10-22,dev_0146,189769.0,0,0,
user0147@axis,User 147,PAYTM,0,0,1456,BASIC,1000.0,8-19,dev_0147,181881.0,0,0,
user0148@axis,User 148,PAYTM,0,0,11,VIDEO,1000.0,7-20,dev_0148,22886.0,0,0,
user0149@paytm,User 149,HDFC,0,0,693,VIDEO,500.0,9-22,dev_0149,156739.0,0,0,
user0150@ybl,User 150,SBI,0,0,7,VIDEO,500.0,9-22,dev_0150,60286.0,0,0,
user0151@paytm,User 151,ICICI,0,0,1420,BASIC,1000.0,7-21,dev_0151,123961.0,0,0,
user0152@hdfc,User 152,ICICI,0,0,835,BASIC,12000.0,7-21,dev_0152,9529.0,0,0,
user0153@ybl,User 153,SBI,0,0,1875,VIDEO,1000.0,9-19,dev_0153,67832.0,0,0,
user0154@axis,User 154,YBL,0,0,533,VIDEO,1000.0,9-22,dev_0154,185155.0,0,0,
user0155@hdfc,User 155,ICICI,0,0,1539,BASIC,2000.0,9-19,dev_0155,94008.0,0,0,
user0156@icici,User 156,SBI,0,0,1196,VIDEO,500.0,7-20,dev_0156,47677.0,0,0,
user0157@icici,User 157,HDFC,0,0,712,BASIC,500.0,6-19,dev_0157,168638.0,0,0,
user0158@icici,User 158,YBL,0,0,1997,BASIC,1000.0,6-20,dev_0158,35022.0,0,0,
user0159@ybl,User 159,ICICI,0,0,2,BASIC,12000.0,10-21,dev_0159,159193.0,0,0,
user0160@sbi,User 160,HDFC,0,0,1675,VIDEO,500.0,9-21,dev_0160,87581.0,0,0,
user0161@sbi,User 161,HDFC,0,0,1984,BASIC,2000.0,9-19,dev_0161,105709.0,0,0,
user0162@hdfc,User 162,SBI,0,0,954,VIDEO,1000.0,10-20,dev_0162,15026.0,0,0,
user0163@sbi,User 163,AXIS,0,0,1653,VIDEO,2000.0,9-22,dev_0163,67701.0,0,0,
user0164@sbi,User 164,YBL,0,0,339,BASIC,5000.0,8-20,dev_0164,23738.0,0,0,
user0165@sbi,User 165,YBL,0,0,61,BASIC,500.0,6-19,dev_0165,156051.0,0,0,
user0166@paytm,User 166,SBI,0,0,344,VIDEO,500.0,10-19,dev_0166,165509.0,0,0,
user0167@hdfc,User 167,SBI,0,0,1491,VIDEO,1000.0,6-21,dev_0167,151704.0,0,0,
user0168@paytm,User 168,ICICI,0,0,485,BASIC,1000.0,8-20,dev_0168,151540.0,0,0,
user0169@axis,User 169,PAYTM,0,0,1656,BASIC,500.0,6-19,dev_0169,198125.0,0,0,
user0170@sbi,User 170,YBL,0,0,1757,BASIC,1000.0,8-19,dev_0170,175207.0,0,0,
user0171@axis,User 171,PAYTM,0,0,1485,VIDEO,500.0,9-20,dev_0171,112427.0,0,0,
user0172@axis,User 172,ICICI,0,0,1227,BASIC,500.0,6-22,dev_0172,55736.0,0,0,
user0173@hdfc,User 173,HDFC,0,0,807,BASIC,1000.0,10-19,dev_0173,106774.0,0,0,
user0174@icici,User 174,ICICI,0,0,62,VIDEO,500.0,9-20,dev_0174,179429.0,0,0,
user0175@ybl,User 175,AXIS,0,0,983,BASIC,1000.0,10-22,dev_0175,16599.0,0,0,
user0176@axis,User 176,AXIS,0,0,6,BASIC,2000.0,6-19,dev_0176,45362.0,0,0,
user0177@hdfc,User 177,SBI,0,0,681,BASIC,5000.0,6-19,dev_0177,15777.0,0,0,
user0178@ybl,User 178,PAYTM,0,0,1783,BASIC,500.0,9-22,dev_0178,24467.0,0,0,
user0179@axis,User 179,HDFC,0,0,1713,VIDEO,500.0,9-19,dev_0179,164862.0,0,0,
user0180@axis,User 180,HDFC,0,0,688,VIDEO,1000.0,6-19,dev_0180,117487.0,0,0,
user0181@paytm,User 181,YBL,0,0,1017,BASIC,1000.0,10-21,dev_0181,79242.0,0,0,
user0182@axis,User 182,PAYTM,0,0,5,VIDEO,1000.0,6-19,dev_0182,173898.0,0,0,
user0183@paytm,User 183,PAYTM,0,0,1288,BASIC,1000.0,8-22,dev_0183,186892.0,0,0,
user0184@sbi,User 184,AXIS,0,0,955,BASIC,1000.0,8-20,dev_0184,113107.0,0,0,
user0185@hdfc,User 185,YBL,0,0,382,BASIC,500.0,7-20,dev_0185,80873.0,0,0,
user0186@paytm,User 186,SBI,0,0,1663,VIDEO,500.0,9-21,dev_0186,121491.0,0,0,
user0187@icici,User 187,YBL,0,0,1852,BASIC,1000.0,10-19,dev_0187,5900.0,0,0,
user0188@ybl,User 188,SBI,0,0,1502,BASIC,500.0,8-20,dev_0188,101801.0,0,1,
user0189@icici,User 189,YBL,0,0,1764,BASIC,1000.0,9-22,dev_0189,115190.0,0,0,
user0190@axis,User 190,HDFC,0,0,1100,VIDEO,1000.0,9-19,dev_0190,192898.0,0,0,
user0191@ybl,User 191,AXIS,0,0,9,BASIC,5000.0,8-21,dev_0191,163137.0,0,0,
user0192@icici,User 192,HDFC,0,0,884,BASIC,2000.0,10-22,dev_0192,86435.0,0,0,
user0193@sbi,User 193,HDFC,0,0,649,VIDEO,500.0,10-21,dev_0193,9674.0,0,0,
user0194@axis,User 194,PAYTM,0,0,1356,BASIC,500.0,9-21,dev_0194,125649.0,0,0,
user0195@ybl,User 195,AXIS,0,0,330,BASIC,500.0,8-20,dev_0195,72107.0,0,0,
user0196@sbi,User 196,ICICI,0,0,24,VIDEO,2000.0,8-20,dev_0196,132075.0,0,0,
user0197@axis,User 197,AXIS,0,0,129,CORPORATE,1000.0,8-20,dev_0197,198740.0,0,0,
user0198@sbi,User 198,SBI,0,0,22,VIDEO,1000.0,9-21,dev_0198,187495.0,0,0,
user0199@sbi,User 199,HDFC,0,0,362,VIDEO,2000.0,6-22,dev_0199,183570.0,0,0,
user0200@paytm,User 200,PAYTM,0,0,1939,BASIC,500.0,8-19,dev_0200,41925.0,0,0,
user0201@sbi,User 201,HDFC,0,0,1433,VIDEO,5000.0,6-19,dev_0201,195300.0,0,0,
user0202@icici,User 202,YBL,0,0,1118,CORPORATE,2000.0,6-20,dev_0202,180289.0,0,0,
user0203@paytm,User 203,SBI,0,0,809,BASIC,1000.0,8-22,dev_0203,81343.0,0,0,
user0204@icici,User 204,HDFC,0,0,1865,BASIC,1000.0,9-19,dev_0204,11859.0,0,0,
user0205@sbi,User 205,YBL,0,0,1060,BASIC,500.0,10-20,dev_0205,195552.0,0,0,
user0206@axis,User 206,AXIS,0,0,438,VIDEO,500.0,6-19,dev_0206,182927.0,0,0,
user0207@paytm,User 207,ICICI,0,0,1258,BASIC,2000.0,7-22,dev_0207,190024.0,0,0,
user0208@axis,User 208,SBI,0,0,1894,VIDEO,1000.0,7-21,dev_0208,155300.0,0,0,
user0209@icici,User 209,PAYTM,0,0,1365,VIDEO,2000.0,7-19,dev_0209,49585.0,0,0,
user0210@paytm,User 210,ICICI,0,0,268,VIDEO,500.0,10-22,dev_0210,106312.0,0,0,
user0211@sbi,User 211,YBL,0,0,987,VIDEO,1000.0,10-21,dev_0211,18031.0,0,0,
user0212@paytm,User 212,AXIS,0,0,1963,BASIC,500.0,9-21,dev_0212,179867.0,0,0,
user0213@paytm,User 213,AXIS,0,0,1576,VIDEO,2000.0,10-21,dev_0213,129397.0,0,0,
user0214@sbi,User 214,PAYTM,0,0,1363,BASIC,2000.0,7-22,dev_0214,77327.0,0,0,
user0215@axis,User 215,ICICI,0,0,951,BASIC,2000.0,8-20,dev_0215,150314.0,0,0,
user0216@axis,User 216,ICICI,0,0,1795,CORPORATE,2000.0,9-19,dev_0216,26591.0,0,0,
user0217@sbi,User 217,PAYTM,0,0,1087,VIDEO,500.0,6-20,dev_0217,153306.0,0,0,
user0218@paytm,User 218,SBI,0,0,346,BASIC,1000.0,7-22,dev_0218,65124.0,0,0,
user0219@paytm,User 219,ICICI,0,0,993,VIDEO,500.0,9-20,dev_0219,150858.0,0,0,
user0220@axis,User 220,SBI,0,0,759,BASIC,500.0,10-20,dev_0220,96159.0,0,0,
user0221@ybl,User 221,HDFC,0,0,7,BASIC,1000.0,9-19,dev_0221,90570.0,0,0,
user0222@ybl,User 222,ICICI,0,0,1864,VIDEO,2000.0,7-19,dev_0222,130384.0,0,0,
user0223@axis,User 223,AXIS,0,0,1822,BASIC,5000.0,9-22,dev_0223,94881.0,0,1,
user0224@icici,User 224,PAYTM,0,0,850,VIDEO,1000.0,8-20,dev_0224,112671.0,0,0,
user0225@paytm,User 225,PAYTM,0,0,1704,VIDEO,2000.0,7-19,dev_0225,175217.0,0,0,
user0226@hdfc,User 226,AXIS,0,0,1236,VIDEO,500.0,8-22,dev_0226,72204.0,0,0,
user0227@sbi,User 227,PAYTM,0,0,172,VIDEO,500.0,6-21,dev_0227,83561.0,0,0,
user0228@paytm,User 228,YBL,0,0,1635,BASIC,500.0,6-19,dev_0228,183090.0,0,0,
user0229@ybl,User 229,ICICI,0,0,595,BASIC,500.0,10-22,dev_0229,56596.0,0,0,
user0230@paytm,User 230,PAYTM,0,0,1557,BASIC,2000.0,7-21,dev_0230,167849.0,0,1,
user0231@icici,User 231,YBL,0,0,134,VIDEO,12000.0,8-22,dev_0231,106188.0,0,0,
user0232@hdfc,User 232,SBI,0,0,780,BASIC,2000.0,7-19,dev_0232,43121.0,0,0,
user0233@paytm,User 233,HDFC,0,0,1399,BASIC,2000.0,10-21,dev_0233,85309.0,0,0,
user0234@hdfc,User 234,AXIS,0,0,19,BASIC,2000.0,7-19,dev_0234,96305.0,0,0,
user0235@axis,User 235,ICICI,0,0,1604,BASIC,500.0,8-19,dev_0235,161530.0,0,0,
user0236@hdfc,User 236,YBL,0,0,1890,VIDEO,500.0,7-19,dev_0236,48814.0,0,0,
user0237@sbi,User 237,HDFC,0,0,1300,CORPORATE,500.0,6-22,dev_0237,46132.0,0,0,
user0238@sbi,User 238,ICICI,0,0,158,VIDEO,500.0,10-21,dev_0238,64631.0,0,0,
user0239@icici,User 239,YBL,0,0,1880,VIDEO,2000.0,6-19,dev_0239,91038.0,0,0,
user0240@ybl,User 240,AXIS,0,0,1513,BASIC,2000.0,9-19,dev_0240,27979.0,0,0,
user0241@paytm,User 241,YBL,0,0,826,BASIC,1000.0,8-22,dev_0241,183064.0,0,0,
user0242@sbi,User 242,AXIS,0,0,425,VIDEO,1000.0,9-22,dev_0242,192322.0,0,0,
user0243@hdfc,User 243,HDFC,0,0,1298,BASIC,1000.0,10-20,dev_0243,197392.0,0,0,
user0244@icici,User 244,ICICI,0,0,1588,VIDEO,500.0,10-21,dev_0244,196095.0,0,0,
user0245@sbi,User 245,YBL,0,0,1236,BASIC,1000.0,9-19,dev_0245,166771.0,0,0,
user0246@ybl,User 246,AXIS,0,0,12,VIDEO,1000.0,9-21,dev_0246,72913.0,0,0,
user0247@ybl,User 247,ICICI,0,0,158,VIDEO,5000.0,7-22,dev_0247,55234.0,0,0,
user0248@paytm,User 248,PAYTM,0,0,1090,BASIC,500.0,10-21,dev_0248,52911.0,0,1,
user0249@axis,User 249,YBL,0,0,1292,BASIC,2000.0,10-19,dev_0249,108664.0,0,0,
user0250@hdfc,User 250,HDFC,0,0,1782,VIDEO,500.0,9-19,dev_0250,73164.0,0,0,
user0251@sbi,User 251,PAYTM,0,0,1848,BASIC,5000.0,10-21,dev_0251,37981.0,0,0,
user0252@sbi,User 252,HDFC,0,0,24,VIDEO,500.0,6-19,dev_0252,30845.0,0,0,
user0253@hdfc,User 253,AXIS,0,0,1771,VIDEO,2000.0,9-20,dev_0253,106814.0,0,0,
user0254@paytm,User 254,PAYTM,0,0,389,BASIC,1000.0,7-19,dev_0254,55837.0,0,0,
user0255@paytm,User 255,YBL,0,0,1390,VIDEO,1000.0,10-22,dev_0255,20160.0,0,0,
user0256@paytm,User 256,YBL,0,0,1825,BASIC,2000.0,7-21,dev_0256,115922.0,0,0,
user0257@sbi,User 257,SBI,0,0,15,VIDEO,2000.0,9-19,dev_0257,140240.0,0,0,
user0258@icici,User 258,YBL,0,0,10,BASIC,1000.0,6-19,dev_0258,48361.0,0,0,
